player_name,win,sets,ace,df,svpt,first_in,first_won,second_in,second_won,matches_played,win_pct,first_won_pct,second_in_won_pct,second_won_pct,aces_set,df_set,aces_match,df_match
Andreea Amalia Rosca,0,3,0,9,86,62,32,15,9,1,0,0.5161290322580645,0.6,0.375,0,3,0,9
Andreea Prisacariu,0,4,1,4,88,60,21,24,8,2,0,0.35,0.3333333333333333,0.2857142857142857,0.25,1,0.5,2
Anett Kontaveit,151,526,737,632,15883,9896,6529,5355,2834,229,0.6593886462882096,0.6597615198059822,0.5292250233426704,0.4733589443794889,1.4011406844106464,1.2015209125475286,3.2183406113537116,2.7598253275109172
Angelina Gabueva,0,2,0,2,57,32,16,23,11,1,0,0.5,0.4782608695652174,0.44,0,1,0,2
Angelique Kerber,121,445,264,624,13099,8439,5352,4036,2194,191,0.6335078534031413,0.6341983647351582,0.543607532210109,0.47081545064377683,0.5932584269662922,1.402247191011236,1.382198952879581,3.2670157068062826
Anhelina Kalinina,26,113,69,169,3245,2130,1255,946,506,51,0.5098039215686274,0.5892018779342723,0.5348837209302325,0.4538116591928251,0.6106194690265486,1.4955752212389382,1.3529411764705883,3.3137254901960786
Anika Seneviratne,2,7,0,17,166,83,48,66,35,3,0.6666666666666666,0.5783132530120482,0.5303030303030303,0.42168674698795183,0,2.4285714285714284,0,5.666666666666667
Anita Husaric,0,5,2,7,150,83,49,60,24,2,0,0.5903614457831325,0.4,0.3582089552238806,0.4,1.4,1,3.5
Ankita Raina,12,69,10,36,2076,1468,834,572,281,29,0.41379310344827586,0.5681198910081744,0.49125874125874125,0.4621710526315789,0.14492753623188406,0.5217391304347826,0.3448275862068966,1.2413793103448276
Ann Li,29,115,97,128,3318,2030,1277,1160,634,50,0.58,0.629064039408867,0.5465517241379311,0.4922360248447205,0.8434782608695652,1.1130434782608696,1.94,2.56
Anna Blinkova,30,205,208,480,6225,3796,2318,1949,994,83,0.3614457831325301,0.6106427818756586,0.5100051308363264,0.4092219020172911,1.0146341463414634,2.341463414634146,2.5060240963855422,5.783132530120482
Anna Bondar,15,72,159,70,2159,1307,906,782,404,34,0.4411764705882353,0.6931905126243305,0.5166240409207161,0.47417840375586856,2.2083333333333335,0.9722222222222222,4.676470588235294,2.0588235294117645
Anna Clarice Patrimonio,2,9,6,19,269,163,110,87,37,4,0.5,0.6748466257668712,0.42528735632183906,0.3490566037735849,0.6666666666666666,2.111111111111111,1.5,4.75
Anna Danilina,0,16,14,23,497,328,180,146,77,6,0,0.5487804878048781,0.5273972602739726,0.4556213017751479,0.875,1.4375,2.3333333333333335,3.8333333333333335
Anna Kalinskaya,27,161,92,292,4630,2888,1734,1450,800,69,0.391304347826087,0.600415512465374,0.5517241379310345,0.4592422502870264,0.5714285714285714,1.813664596273292,1.3333333333333333,4.231884057971015
Anna Karolina Schmiedlova,46,248,139,379,7499,4665,2721,2455,1237,106,0.4339622641509434,0.5832797427652733,0.5038696537678208,0.43648553281580804,0.5604838709677419,1.528225806451613,1.3113207547169812,3.5754716981132075
Anna Lena Friedsam,20,118,109,158,3490,2319,1469,1013,541,49,0.40816326530612246,0.6334626994394136,0.5340572556762093,0.46199829205807,0.923728813559322,1.3389830508474576,2.2244897959183674,3.2244897959183674
Anna Tatishvili,0,4,0,7,95,57,24,31,10,2,0,0.42105263157894735,0.3225806451612903,0.2631578947368421,0,1.75,0,3.5
Anna Zaja,1,10,8,8,255,161,98,86,36,4,0.25,0.6086956521739131,0.4186046511627907,0.3829787234042553,0.8,0.8,2,2
Anneliese Rose,0,2,0,0,0,0,0,0,0,1,0,NA,NA,NA,0,0,0,0
Antonia Lottner,9,57,67,61,1584,1081,682,442,205,26,0.34615384615384615,0.6308973172987974,0.4638009049773756,0.40755467196819084,1.1754385964912282,1.0701754385964912,2.576923076923077,2.3461538461538463
Anya King,0,4,0,0,0,0,0,0,0,2,0,NA,NA,NA,0,0,0,0
Arantxa Rus,32,206,146,298,6247,4365,2623,1584,831,90,0.35555555555555557,0.6009163802978236,0.5246212121212122,0.44155154091392135,0.7087378640776699,1.4466019417475728,1.6222222222222222,3.311111111111111
Ariana Rahmanparast,1,6,1,26,181,106,58,49,26,3,0.3333333333333333,0.5471698113207547,0.5306122448979592,0.3466666666666667,0.16666666666666666,4.333333333333333,0.3333333333333333,8.666666666666666
Arianne Hartono,1,11,12,26,385,232,138,127,65,4,0.25,0.5948275862068966,0.5118110236220472,0.42483660130718953,1.0909090909090908,2.3636363636363638,3,6.5
Arina Rodionova,4,47,23,96,1388,895,497,397,190,22,0.18181818181818182,0.5553072625698324,0.47858942065491183,0.385395537525355,0.48936170212765956,2.0425531914893615,1.0454545454545454,4.363636363636363
Aryna Sabalenka,174,618,1193,1364,18359,11052,7600,5943,3448,258,0.6744186046511628,0.6876583423814694,0.580178361097089,0.47187628301628576,1.9304207119741101,2.207119741100324,4.624031007751938,5.286821705426356
Arzuv Klycheva,0,8,1,14,197,118,58,65,31,4,0,0.4915254237288136,0.47692307692307695,0.3924050632911392,0.125,1.75,0.25,3.5
Ashleigh Barty,169,484,1260,606,14002,8226,6034,5170,2939,212,0.7971698113207547,0.7335278385606613,0.5684719535783366,0.5088296398891967,2.603305785123967,1.2520661157024793,5.943396226415095,2.858490566037736
Ashley Brooks,0,6,0,12,138,65,32,61,16,3,0,0.49230769230769234,0.26229508196721313,0.2191780821917808,0,2,0,4
Ashley Kratzer,1,5,8,12,162,105,64,45,18,2,0.5,0.6095238095238096,0.4,0.3157894736842105,1.6,2.4,4,6
Ashlyn Krueger,0,10,14,12,354,235,138,107,52,4,0,0.5872340425531914,0.48598130841121495,0.4369747899159664,1.4,1.2,3.5,3
Asia Muhammad,1,14,17,22,411,221,135,168,87,6,0.16666666666666666,0.6108597285067874,0.5178571428571429,0.45789473684210524,1.2142857142857142,1.5714285714285714,2.8333333333333335,3.6666666666666665
Astra Sharma,25,149,194,209,4402,2709,1706,1484,797,61,0.4098360655737705,0.6297526762643042,0.5370619946091644,0.470761961015948,1.3020134228187918,1.4026845637583893,3.180327868852459,3.4262295081967213
Astrid Wanja Brune Olsen,1,7,3,11,216,152,77,53,15,3,0.3333333333333333,0.506578947368421,0.2830188679245283,0.234375,0.42857142857142855,1.5714285714285714,1,3.6666666666666665
Audrey Albie,0,2,1,3,47,27,11,17,9,1,0,0.4074074074074074,0.5294117647058824,0.45,0.5,1.5,1,3
Ayano Shimizu,0,4,0,7,98,62,27,29,14,2,0,0.43548387096774194,0.4827586206896552,0.3888888888888889,0,1.75,0,3.5
Ayla Aksu,0,8,4,22,240,141,69,77,35,4,0,0.48936170212765956,0.45454545454545453,0.35353535353535354,0.5,2.75,1,5.5
Aymet Uzcategui,5,25,10,16,519,355,204,148,78,10,0.5,0.5746478873239437,0.527027027027027,0.47560975609756095,0.4,0.64,1,1.6
Bahar Toymyradova,0,6,1,30,174,98,41,46,30,3,0,0.41836734693877553,0.6521739130434783,0.39473684210526316,0.16666666666666666,5,0.3333333333333333,10
Barbara Gatica,4,17,4,10,425,317,183,98,50,8,0.5,0.5772870662460567,0.5102040816326531,0.46296296296296297,0.23529411764705882,0.5882352941176471,0.5,1.25
Barbara Haas,5,41,20,101,1238,739,454,398,189,18,0.2777777777777778,0.6143437077131259,0.4748743718592965,0.3787575150300601,0.4878048780487805,2.4634146341463414,1.1111111111111112,5.611111111111111
Barbora Krejcikova,65,225,324,356,6503,3971,2691,2176,1210,97,0.6701030927835051,0.6776630571644422,0.5560661764705882,0.47788309636650866,1.44,1.5822222222222222,3.3402061855670104,3.670103092783505
Barbora Stefkova,0,2,1,1,55,42,22,12,9,1,0,0.5238095238095238,0.75,0.6923076923076923,0.5,0.5,1,1
Barbora Strycova,50,239,189,291,7342,4764,2962,2287,1234,104,0.4807692307692308,0.6217464315701091,0.5395714910362921,0.4786656322730799,0.7907949790794979,1.217573221757322,1.8173076923076923,2.798076923076923
Basak Eraydin,0,9,15,16,296,177,101,103,46,4,0,0.5706214689265536,0.44660194174757284,0.3865546218487395,1.6666666666666667,1.7777777777777777,3.75,4
Beatrice Gumulya,5,26,31,35,742,446,271,261,140,11,0.45454545454545453,0.6076233183856502,0.5363984674329502,0.47297297297297297,1.1923076923076923,1.3461538461538463,2.8181818181818183,3.1818181818181817
Beatriz Haddad Maia,31,150,131,260,4471,3016,1910,1195,643,63,0.49206349206349204,0.633289124668435,0.5380753138075314,0.44192439862542954,0.8733333333333333,1.7333333333333334,2.0793650793650795,4.126984126984127
Belinda Bencic,129,477,614,883,13647,8412,5735,4352,2393,203,0.6354679802955665,0.6817641464574418,0.5498621323529411,0.4571155682903534,1.2872117400419287,1.851153039832285,3.0246305418719213,4.349753694581281
